"Week of","M","T","W","T","F","S","S","Total"
"Oct 30","","2.0","4.0","2.0","","8.0","4.0","20.0"
"Nov 06","","2.0","4.5","2.0","","9.0","4.5","22.0"
"Nov 13","","2.5","5.0","2.5","","9.5","5.0","24.5"
"Nov 20","","2.0","4.0","2.0","","8.0","4.0","20.0"
"Nov 27","","2.5","5.0","2.5","","10.5","5.0","25.5"
"Dec 04","","3.0","5.5","3.0","","11.5","5.5","28.5"
"Dec 11","","3.0","6.0","3.0","","12.0","6.0","30.0"
"Dec 18","","2.5","5.0","2.5","","9.5","5.0","24.5"
"Dec 25","","3.0","6.5","3.0","","13.0","6.5","32.0"
"Jan 01","","3.5","7.0","3.5","","13.5","7.0","34.5"
"Jan 08","","3.5","7.5","3.5","","14.5","7.5","36.5"
"Jan 15","","3.0","6.0","3.0","","11.5","6.0","29.5"
"Jan 22","","4.0","7.5","4.0","","15.5","7.5","38.5"
"Jan 29","","4.0","8.0","4.0","","16.0","8.0","40.0"
"Feb 05","","4.0","8.5","4.0","","17.0","8.5","42.0"
"Feb 12","","3.5","6.5","3.5","","13.5","6.5","33.5"
"Feb 19","","4.5","9.0","4.5","","18.0","9.0","45.0"
"Feb 26","","4.5","9.5","4.5","","14.0","","32.5"
"Mar 04","","3.5","6.5","3.5","","10.0","","23.5"
"Mar 11","","2.5","4.5","2.5","","","","9.5"